timestamp,rpm,speed,tps,map,iat,eot,load,voltage,fuel_lh,gear
17:03:25,0,0,0.00,0.0,25.0,0.0,0.00,410400.00,0.000,
17:03:28,0,0,0.00,0.0,25.0,0.0,0.00,410400.00,0.000,
17:03:30,0,0,0.00,0.0,25.0,0.0,0.00,410438.00,0.000,
17:03:30,0,0,0.00,0.0,25.0,0.0,0.00,410438.00,0.000,
17:03:32,0,0,0.00,0.0,25.0,0.0,0.00,410438.00,0.000,
17:03:34,0,0,0.00,0.0,25.0,0.0,0.00,410438.00,0.000,
17:03:34,0,0,0.00,0.0,25.0,0.0,0.00,410438.00,0.000,
17:03:35,0,0,0.00,0.0,25.0,0.0,0.00,410438.00,0.000,
17:03:37,0,0,0.00,0.0,25.0,0.0,0.00,410438.00,0.000,
17:03:38,0,0,0.00,0.0,25.0,0.0,0.00,410440.00,0.000,
17:03:39,0,0,0.00,0.0,25.0,0.0,0.00,410440.00,0.000,
17:03:40,1424,0,13.73,52.0,9.0,40.0,25.10,13.80,1.379,
17:03:42,1370,0,13.73,54.0,9.0,40.0,24.31,13.40,1.377,
17:03:43,1453,0,13.73,53.0,9.0,40.0,24.71,13.90,1.434,
17:03:45,1479,0,13.73,52.0,9.0,40.0,24.31,13.40,1.432,
17:03:46,1449,0,13.73,52.0,9.0,40.0,23.92,13.90,1.403,
17:03:48,1443,0,13.73,54.0,9.0,40.0,23.92,14.10,1.451,
17:03:49,1446,0,13.73,53.0,9.0,40.0,24.31,13.60,1.426,
17:03:50,1482,0,13.73,54.0,9.0,40.0,25.10,14.00,1.489,
17:03:53,1390,0,13.73,52.0,9.0,41.0,23.14,14.10,1.346,
17:03:54,1348,0,13.73,54.0,9.0,41.0,23.92,13.60,1.355,
17:03:56,1478,12,13.73,53.0,9.0,41.0,24.31,14.10,1.458,1
17:03:58,1484,13,13.73,53.0,9.0,41.0,24.71,14.00,1.464,1
17:03:59,1434,12,13.73,54.0,9.0,41.0,24.31,14.00,1.442,1
17:04:00,1488,12,13.73,54.0,9.0,41.0,23.53,14.10,1.496,1
17:04:01,1511,12,13.73,53.0,9.0,41.0,24.31,13.90,1.491,1
17:04:03,1466,13,13.73,52.0,9.0,41.0,24.31,14.00,1.419,1
17:04:04,1460,12,13.73,54.0,9.0,41.0,23.92,13.90,1.467,1
17:04:05,1504,13,13.73,52.0,9.0,43.0,23.14,13.80,1.456,1
17:04:08,1567,13,13.73,53.0,9.0,43.0,23.14,14.00,1.546,1
17:04:11,1516,13,13.73,53.0,9.0,43.0,23.14,13.90,0.000,1
17:04:14,1516,13,13.73,53.0,9.0,43.0,23.14,13.90,0.000,
17:04:17,1493,13,13.73,53.0,9.0,43.0,23.14,13.80,0.000,
17:04:19,1493,13,13.73,53.0,9.0,43.0,22.35,13.90,0.000,
17:04:22,1493,13,13.73,53.0,9.0,43.0,22.35,14.10,0.000,
17:04:25,1493,12,13.73,53.0,9.0,43.0,22.35,13.50,0.000,
17:04:28,1493,12,13.73,53.0,9.0,43.0,22.35,13.50,0.000,
17:04:30,1520,12,13.73,53.0,9.0,45.0,21.96,14.00,0.000,
17:04:33,1434,0,13.73,53.0,9.0,45.0,22.35,13.90,0.000,
17:04:35,1434,0,16.08,50.0,9.0,45.0,22.35,14.00,0.000,
17:04:37,2260,0,16.47,52.0,9.0,45.0,22.35,13.80,2.188,
17:04:40,2300,0,16.47,51.0,9.0,45.0,22.75,13.80,2.184,
17:04:41,1525,0,13.73,51.0,9.0,45.0,21.96,14.00,1.448,
17:04:44,1488,0,13.73,51.0,9.0,45.0,21.96,13.10,0.000,
17:04:47,1488,0,13.73,51.0,9.0,45.0,21.96,13.00,0.000,
17:04:49,1488,0,13.73,51.0,9.0,45.0,21.96,13.00,0.000,
17:05:08,1488,0,13.73,51.0,9.0,45.0,21.96,13.00,0.000,
17:05:48,1488,0,13.73,51.0,9.0,45.0,21.96,13.00,0.000,
17:06:29,1488,0,13.73,51.0,9.0,45.0,21.96,13.00,0.000,
17:07:09,1488,0,13.73,51.0,9.0,45.0,21.96,13.00,0.000,
