timestamp,rpm,speed,tps,map,iat,eot,load,voltage,fuel_lh,gear
17:35:41,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:35:52,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:36:08,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:36:19,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:36:29,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:36:42,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:36:54,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:37:04,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:37:17,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:37:25,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:37:38,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:37:50,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:38:01,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:38:11,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:38:22,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:38:34,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:38:47,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:38:59,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:39:10,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:39:18,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:39:32,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:39:42,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:39:55,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:40:07,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:40:20,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:40:32,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:40:45,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:40:57,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:41:10,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:41:22,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:41:35,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:41:47,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:41:58,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:42:11,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:42:25,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:42:39,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:42:51,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:43:02,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:43:15,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:43:28,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:43:38,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:43:52,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:44:04,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:44:18,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:44:28,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:44:41,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:44:52,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:45:05,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:45:17,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:45:28,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:45:41,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
17:45:51,0,0,0.00,0.0,25.0,0.0,0.00,0.00,0.000,
